23:14:50.977 > Calibrating baro...

23:14:53.938 > Calibration done!

23:14:53.939 > Calibrating sensors

23:14:53.939 > Couldn't open log file

23:14:53.939 > Couldn't open log file

23:14:53.939 > Starting Sensor Calibration...

23:14:53.940 > 

23:14:53.940 > Internal calibration complete!

23:14:53.940 > Starting external gyroscope offset calibration...

23:14:56.900 > Couldn't open log file

23:14:59.864 > Sensors calibrated

23:14:59.864 > Couldn't open log file

23:14:59.864 > Using default angles

23:14:59.864 > Couldn't open log file

23:14:59.864 > rpy init: 0.00, 0.00, 0.00

23:14:59.866 > Couldn't open log file

23:15:05.609 > >alt:0.018,vel:-0.056,accelAlt:0.017,accelVel:-0.058,baroAlt:0.037,deviation:0.020;

23:15:05.617 > >alt:0.019,vel:-0.054,accelAlt:0.017,accelVel:-0.057,baroAlt:0.050,deviation:0.033;

23:15:05.620 > >alt:0.020,vel:-0.052,accelAlt:0.019,accelVel:-0.055,baroAlt:0.050,deviation:0.031;

23:15:05.620 > >alt:0.018,vel:-0.056,accelAlt:0.020,accelVel:-0.053,baroAlt:-0.016,deviation:-0.036;

23:15:05.634 > >alt:0.016,vel:-0.061,accelAlt:0.018,accelVel:-0.057,baroAlt:-0.016,deviation:-0.034;

23:15:05.639 > >alt:0.014,vel:-0.065,accelAlt:0.016,accelVel:-0.062,baroAlt:-0.016,deviation:-0.032;

23:15:05.645 > >alt:0.016,vel:-0.061,accelAlt:0.014,accelVel:-0.066,baroAlt:0.061,deviation:0.047;

23:15:05.650 > >alt:0.018,vel:-0.058,accelAlt:0.016,accelVel:-0.062,baroAlt:0.061,deviation:0.045;

23:15:05.657 > >alt:0.022,vel:-0.051,accelAlt:0.018,accelVel:-0.058,baroAlt:0.095,deviation:0.077;

23:15:05.660 > >alt:0.025,vel:-0.044,accelAlt:0.021,accelVel:-0.052,baroAlt:0.095,deviation:0.074;

23:15:05.668 > >alt:0.032,vel:-0.030,accelAlt:0.025,accelVel:-0.045,baroAlt:0.174,deviation:0.150;

23:15:05.670 > >alt:0.039,vel:-0.017,accelAlt:0.032,accelVel:-0.031,baroAlt:0.174,deviation:0.142;

23:15:05.679 > >alt:0.046,vel:-0.004,accelAlt:0.039,accelVel:-0.018,baroAlt:0.174,deviation:0.135;

23:15:05.685 > >alt:0.039,vel:-0.020,accelAlt:0.046,accelVel:-0.005,baroAlt:-0.100,deviation:-0.146;

23:15:05.690 > >alt:0.031,vel:-0.035,accelAlt:0.038,accelVel:-0.021,baroAlt:-0.100,deviation:-0.139;

23:15:05.696 > >alt:0.030,vel:-0.038,accelAlt:0.031,accelVel:-0.035,baroAlt:0.008,deviation:-0.023;

23:15:05.702 > >alt:0.029,vel:-0.041,accelAlt:0.030,accelVel:-0.039,baroAlt:0.008,deviation:-0.022;

23:15:05.702 > >alt:0.027,vel:-0.044,accelAlt:0.029,accelVel:-0.042,baroAlt:0.008,deviation:-0.021;

23:15:05.713 > >alt:0.014,vel:-0.072,accelAlt:0.027,accelVel:-0.045,baroAlt:-0.243,deviation:-0.270;

23:15:05.718 > >alt:0.000,vel:-0.098,accelAlt:0.013,accelVel:-0.073,baroAlt:-0.243,deviation:-0.256;

23:15:05.725 > >alt:0.005,vel:-0.090,accelAlt:-0.000,accelVel:-0.099,baroAlt:0.095,deviation:0.095;

23:15:05.729 > >alt:0.009,vel:-0.082,accelAlt:0.004,accelVel:-0.091,baroAlt:0.095,deviation:0.091;

23:15:05.735 > >alt:0.013,vel:-0.074,accelAlt:0.008,accelVel:-0.083,baroAlt:0.095,deviation:0.087;

23:15:05.740 > >alt:0.016,vel:-0.067,accelAlt:0.012,accelVel:-0.075,baroAlt:0.095,deviation:0.083;

23:15:05.744 > >alt:0.020,vel:-0.059,accelAlt:0.016,accelVel:-0.067,baroAlt:0.095,deviation:0.079;

23:15:05.753 > >alt:0.017,vel:-0.065,accelAlt:0.020,accelVel:-0.060,baroAlt:-0.032,deviation:-0.051;

23:15:05.758 > >alt:0.014,vel:-0.071,accelAlt:0.017,accelVel:-0.066,baroAlt:-0.032,deviation:-0.048;

23:15:05.764 > >alt:0.015,vel:-0.070,accelAlt:0.014,accelVel:-0.072,baroAlt:0.034,deviation:0.021;

23:15:05.769 > >alt:0.015,vel:-0.069,accelAlt:0.014,accelVel:-0.071,baroAlt:0.034,deviation:0.020;

23:15:05.774 > >alt:0.006,vel:-0.088,accelAlt:0.015,accelVel:-0.070,baroAlt:-0.169,deviation:-0.184;

23:15:05.780 > >alt:-0.004,vel:-0.107,accelAlt:0.005,accelVel:-0.089,baroAlt:-0.169,deviation:-0.174;

23:15:05.785 > >alt:-0.012,vel:-0.124,accelAlt:-0.004,accelVel:-0.108,baroAlt:-0.169,deviation:-0.165;

23:15:05.792 > >alt:-0.004,vel:-0.107,accelAlt:-0.013,accelVel:-0.125,baroAlt:0.164,deviation:0.177;

23:15:05.793 > >alt:0.004,vel:-0.091,accelAlt:-0.005,accelVel:-0.108,baroAlt:0.164,deviation:0.169;

23:15:05.804 > >alt:0.005,vel:-0.088,accelAlt:0.003,accelVel:-0.092,baroAlt:0.045,deviation:0.042;

23:15:05.808 > >alt:0.007,vel:-0.085,accelAlt:0.005,accelVel:-0.089,baroAlt:0.045,deviation:0.040;

23:15:05.813 > >alt:0.008,vel:-0.082,accelAlt:0.006,accelVel:-0.086,baroAlt:0.045,deviation:0.039;

23:15:05.818 > >alt:0.016,vel:-0.067,accelAlt:0.008,accelVel:-0.083,baroAlt:0.172,deviation:0.164;

23:15:05.825 > >alt:0.023,vel:-0.052,accelAlt:0.015,accelVel:-0.068,baroAlt:0.172,deviation:0.156;

23:15:05.830 > >alt:0.041,vel:-0.016,accelAlt:0.023,accelVel:-0.053,baroAlt:0.388,deviation:0.365;

23:15:05.837 > >alt:0.059,vel:0.018,accelAlt:0.041,accelVel:-0.017,baroAlt:0.388,deviation:0.347;

23:15:05.839 > >alt:0.062,vel:0.023,accelAlt:0.059,accelVel:0.017,baroAlt:0.124,deviation:0.066;

23:15:05.848 > >alt:0.065,vel:0.029,accelAlt:0.062,accelVel:0.022,baroAlt:0.124,deviation:0.062;

23:15:05.853 > >alt:0.068,vel:0.034,accelAlt:0.065,accelVel:0.028,baroAlt:0.124,deviation:0.059;

23:15:05.860 > >alt:0.077,vel:0.050,accelAlt:0.068,accelVel:0.033,baroAlt:0.243,deviation:0.175;

23:15:05.861 > >alt:0.086,vel:0.066,accelAlt:0.077,accelVel:0.049,baroAlt:0.243,deviation:0.166;

23:15:05.871 > >alt:0.086,vel:0.065,accelAlt:0.086,accelVel:0.065,baroAlt:0.090,deviation:0.004;

23:15:05.874 > >alt:0.087,vel:0.065,accelAlt:0.087,accelVel:0.064,baroAlt:0.090,deviation:0.003;

23:15:05.883 > >alt:0.097,vel:0.085,accelAlt:0.087,accelVel:0.064,baroAlt:0.293,deviation:0.206;

23:15:05.886 > >alt:0.108,vel:0.103,accelAlt:0.098,accelVel:0.083,baroAlt:0.293,deviation:0.195;

23:15:05.886 > >alt:0.118,vel:0.121,accelAlt:0.108,accelVel:0.102,baroAlt:0.293,deviation:0.185;

23:15:05.899 > >alt:0.123,vel:0.130,accelAlt:0.118,accelVel:0.120,baroAlt:0.219,deviation:0.101;

23:15:05.903 > >alt:0.129,vel:0.139,accelAlt:0.124,accelVel:0.129,baroAlt:0.219,deviation:0.095;

23:15:05.910 > >alt:0.127,vel:0.134,accelAlt:0.129,accelVel:0.138,baroAlt:0.090,deviation:-0.040;

23:15:05.911 > >alt:0.126,vel:0.129,accelAlt:0.128,accelVel:0.133,baroAlt:0.090,deviation:-0.039;

23:15:05.920 > >alt:0.125,vel:0.124,accelAlt:0.127,accelVel:0.128,baroAlt:0.090,deviation:-0.037;

23:15:05.925 > >alt:0.118,vel:0.108,accelAlt:0.126,accelVel:0.123,baroAlt:-0.026,deviation:-0.152;

23:15:05.932 > >alt:0.112,vel:0.093,accelAlt:0.119,accelVel:0.107,baroAlt:-0.026,deviation:-0.145;

23:15:05.936 > >alt:0.108,vel:0.083,accelAlt:0.112,accelVel:0.092,baroAlt:0.029,deviation:-0.083;

23:15:05.944 > >alt:0.105,vel:0.074,accelAlt:0.109,accelVel:0.082,baroAlt:0.029,deviation:-0.079;

23:15:05.950 > >alt:0.118,vel:0.099,accelAlt:0.105,accelVel:0.074,baroAlt:0.362,deviation:0.257;

23:15:05.955 > >alt:0.131,vel:0.123,accelAlt:0.118,accelVel:0.098,baroAlt:0.362,deviation:0.244;

23:15:05.959 > >alt:0.143,vel:0.145,accelAlt:0.131,accelVel:0.122,baroAlt:0.362,deviation:0.231;

23:15:05.967 > >alt:0.128,vel:0.113,accelAlt:0.143,accelVel:0.144,baroAlt:-0.164,deviation:-0.307;

23:15:05.971 > >alt:0.114,vel:0.083,accelAlt:0.129,accelVel:0.112,baroAlt:-0.164,deviation:-0.293;

23:15:05.971 > >alt:0.111,vel:0.075,accelAlt:0.115,accelVel:0.082,baroAlt:0.042,deviation:-0.072;

23:15:05.983 > >alt:0.108,vel:0.067,accelAlt:0.111,accelVel:0.074,baroAlt:0.042,deviation:-0.069;

23:15:05.986 > >alt:0.108,vel:0.066,accelAlt:0.108,accelVel:0.066,baroAlt:0.106,deviation:-0.003;

23:15:05.995 > >alt:0.109,vel:0.064,accelAlt:0.109,accelVel:0.065,baroAlt:0.106,deviation:-0.003;

23:15:05.998 > >alt:0.109,vel:0.063,accelAlt:0.109,accelVel:0.063,baroAlt:0.106,deviation:-0.003;

23:15:06.006 > >alt:0.109,vel:0.063,accelAlt:0.109,accelVel:0.062,baroAlt:0.114,deviation:0.005;

23:15:06.008 > >alt:0.110,vel:0.062,accelAlt:0.110,accelVel:0.062,baroAlt:0.114,deviation:0.004;

23:15:06.017 > >alt:0.109,vel:0.059,accelAlt:0.110,accelVel:0.061,baroAlt:0.090,deviation:-0.020;

23:15:06.023 > >alt:0.108,vel:0.056,accelAlt:0.109,accelVel:0.058,baroAlt:0.090,deviation:-0.020;

23:15:06.024 > >alt:0.108,vel:0.054,accelAlt:0.109,accelVel:0.055,baroAlt:0.090,deviation:-0.019;

23:15:06.034 > >alt:0.099,vel:0.035,accelAlt:0.108,accelVel:0.053,baroAlt:-0.069,deviation:-0.177;

